Ticker,,,,Market Cap (Millions),,,,,,Earnings Report Data,,,,
,,2009,2010,2011,2012,2013,,2008,2009,2010,2011,2012,2013,2014
AAPL,,190983,297089,377547,499696,500741,,-,9.22,15.41,28.05,44.64,40.03,40.49
ADBE,,19223,15448,13896,18619,29716,,-,0.74,1.49,1.67,1.68,0.58,0.58
AIG,,3392,6780,44006,52114,75163,,-756.8,-90.48,11.6,9.44,2.04,-,2.13
AMTD,,11414,10893,8582,9195,16883,,-,1.11,1.01,1.12,1.07,1.23,1.31
AMZN,,59727,81180,78761,113895,183045,,-,2.08,2.58,1.39,-0.09,0.6,0.6
BA,,39331,47983,54624,56944,102566,,3.7,1.86,4.49,5.39,5.15,-,5.7
C,,94280,137446,76927,119823,158050,,-55.9,-8,3.6,3.73,2.51,-,4.12
CME,,22345,21508,16114,16814,26312,,2.44,2.49,2.87,5.45,2.71,-,2.86
CPB,,11591,11591,10594,10970,13634,,-,2.09,2.44,2.44,2.43,1.46,1.23
CSCO,,137717,112130,97196,104324,119925,,-,1.05,1.36,1.17,1.5,1.87,1.85
CVX,,154575,183183,210796,210516,240224,,11.74,5.26,9.53,13.54,13.42,-,12.33
DFS,,7986,10093,12692,19193,26679,,1.94,2.42,1.23,4.06,4.47,-,4.47
DIS,,60147,71028,68959,89622,129880,,-,1.78,2.07,2.56,3.17,3.42,3.69
EBAY,,30537,36115,39019,65991,70995,,-,1.85,1.38,2.5,2.02,2.2,2.2
EMC,,35856,47386,44133,53306,51755,,0.66,0.54,0.92,1.2,1.31,-,1.31
FB,,-,-,-,-,139191,,-,-,-,0.49,0.02,0.62,0.62
FITB,,7752,11689,11700,13409,18566,,-3.94,0.73,0.63,1.2,1.69,-,2.07
GE,,161332,194155,189363,218414,283590,,1.72,1.01,1.06,1.24,1.29,-,1.35
GM,,-,-,31714,39393,56767,,-,113.18,3.11,4.94,3.1,2.71,2.71
GPS,,14455,13602,9058,14881,17546,,-,1.35,1.59,1.89,1.57,2.35,2.84
HPQ,,121778,92217,51109,27761,53408,,-,3.21,3.78,3.38,-6.41,2.64,2.64
IBM,,170869,180220,213886,214032,203674,,-,9.07,10.12,11.69,13.25,14.53,14.57
INTC,,112669,115896,121250,101945,129022,,-,0.93,0.79,2.06,2.46,2.2,1.9
JNJ,,177714,169856,179089,194772,258416,,4.62,4.45,4.85,3.54,3.94,-,4.6
JPM,,164261,165875,125442,167256,219837,,1.41,2.27,3.98,4.5,5.22,-,4.48
KRFT,,-,-,-,-,32123,,-,-,5.98,-,2.77,-,3.16
KSS,,16535,15888,12507,9886,12152,,-,2.89,3.25,3.67,4.33,4.19,4.22
LNKD,,-,-,-,12593,25891,,-,-,0.17,0.15,0.21,-,0.31
LOW,,34431,34610,31790,39949,51821,,-,1.51,1.21,1.42,1.43,1.69,2.1
LUV,,8490,9702,6664,7478,13197,,0.13,0.62,0.23,0.56,1.06,-,1.06
MCD,,67229,80874,102477,88448,96548,,3.83,4.17,4.64,5.33,5.41,-,5.58
MSFT,,268559,234528,217597,223667,310503,,-,1.63,2.13,2.73,2.02,2.61,2.74
NFLX,,2944,9274,3839,5147,21946,,-,2.05,3.06,4.28,0.31,1.93,1.93
NI,,4255,4913,6711,7723,10301,,0.29,0.79,1.05,1.06,1.43,-,1.65
NKE,,29233,37030,39890,41580,69832,,-,1.54,1.97,2.24,2.42,2.77,3.2
PCG,,16547,18756,16993,17306,18098,,3.64,3.25,2.86,2.1,1.92,-,1.63
PEP,,95152,103287,103771,105656,127197,,3.26,3.81,3.97,4.08,3.96,-,4.31
PM,,90942,105458,135449,138308,139597,,3.33,3.25,3.93,4.85,5.17,-,5.29
SBUX,,17214,23812,34296,40164,59302,,-,0.53,1.27,1.66,1.83,0.01,0.16
SLB,,77652,113644,91110,92046,117804,,-,2.62,3.41,3.7,4.13,5.09,5.09
STJ,,12294,14077,10963,10685,18078,,1.12,2.28,2.76,2.55,2.4,-,2.47
TWC,,14590,22998,20025,28933,38196,,-22.56,3.07,3.67,5.02,6.97,-,6.59
TXN,,32317,37942,33171,34232,48062,,1.47,1.16,2.66,1.91,1.53,-,1.73
USB,,43060,51807,51661,59710,73783,,1.62,0.97,1.74,2.47,2.85,-,2.98
V,,73641,50181,68251,100353,141190,,-,2.79,4.03,5.18,3.17,7.61,9.92
VZ,,91920,101151,113701,123690,140626,,2.26,1.29,0.9,0.85,0.31,-,0.77
WMT,,203654,192098,204660,228246,254623,,-,3.4,3.71,4.48,4.54,5.04,5.22
XOM,,322344,364064,401254,389648,422094,,8.78,3.99,6.24,8.43,9.7,-,7.66
YHOO,,23594,21766,19195,22193,41024,,0.31,0.43,0.91,0.82,3.31,-,1.19
YUM,,16401,23004,27145,29946,33671,,2.03,2.28,2.44,2.81,3.46,-,2.44
